장르,개막편수,상연횟수,매출액,매출액점유율,관객수,관객점유율
한국음악(국악),76,120,179446050,0.2,19119,1.3
대중음악,242,413,36164902422,38.5,296947,19.7
무용(서양/한국무용),31,66,477418700,0.5,21143,1.4
대중무용,12,12,66864000,0.1,3354,0.2
서커스/마술,55,891,1046544870,1.1,46776,3.1
복합,19,46,52571810,0.1,5730,0.4
연극,166,3551,5106027765,5.7,193820,13.4
뮤지컬,218,2730,34521025596,38.5,548623,37.8
서양음악(클래식),648,753,7003614460,7.8,260079,17.9
한국음악(국악),96,154,484316400,0.5,32837,2.3
대중음악,257,437,40176937120,44.8,338331,23.3
무용(서양/한국무용),47,89,1099965200,1.2,30490,2.1
대중무용,11,12,102424000,0.1,3241,0.2
서커스/마술,54,605,1129316650,1.3,34396,2.4
복합,20,45,61181100,0.1,7858,0.5
연극,221,4106,5780569854,4.8,225616,12.3
뮤지컬,292,3338,32427029742,27.0,623543,34.1
서양음악(클래식),676,838,9805383440,8.2,293064,16.0
한국음악(국악),93,165,393612350,0.3,35279,1.9
대중음악,296,486,68755812010,57.2,542977,29.7
무용(서양/한국무용),50,118,1491265230,1.2,43006,2.4
대중무용,7,7,5555000,0.0,2229,0.1
서커스/마술,81,719,1340562280,1.1,51841,2.8
복합,26,75,163525400,0.1,12429,0.7
연극,200,4216,5203373517,3.9,219240,11.0
뮤지컬,279,3543,34017711204,25.3,648419,32.4
서양음악(클래식),704,859,13139029720,9.8,306311,15.3
한국음악(국악),107,187,542763350,0.4,40571,2.0
대중음악,335,561,77236384360,57.5,658899,32.9
무용(서양/한국무용),75,165,2459343852,1.8,62777,3.1
대중무용,3,4,14665000,0.0,874,0.0
서커스/마술,73,779,1472818630,1.1,46518,2.3
복합,34,84,251334000,0.2,16937,0.8
연극,276,4028,7349304264,7.0,268818,15.2
뮤지컬,247,2974,34136453619,32.3,595382,33.6
서양음악(클래식),708,838,7300830060,6.9,283148,16.0
한국음악(국악),120,186,422852450,0.4,33511,1.9
대중음악,323,524,54757428562,51.8,504520,28.5
무용(서양/한국무용),72,133,548646480,0.5,28731,1.6
대중무용,3,4,96483400,0.1,2478,0.1
서커스/마술,53,593,1044736980,1.0,47008,2.7
복합,17,60,49745800,0.0,7415,0.4
연극,320,4915,9064318950,6.4,331412,15.4
뮤지컬,232,4249,49559849692,35.1,871107,40.4
서양음악(클래식),622,779,4853851800,3.4,213088,9.9
한국음악(국악),110,179,284247552,0.2,34305,1.6
대중음악,324,532,73583644212,52.1,578392,26.8
무용(서양/한국무용),87,141,1336308500,0.9,40600,1.9
대중무용,3,6,5476000,0.0,234,0.0
서커스/마술,91,1280,2461873350,1.7,78611,3.6
복합,28,67,48649000,0.0,9634,0.4
연극,277,4699,6881783630,5.4,257942,13.2
뮤지컬,209,3127,36483666212,28.7,605177,31.0
서양음악(클래식),776,916,7434510650,5.9,304427,15.6
한국음악(국악),135,219,370495100,0.3,46567,2.4
대중음악,331,531,72002065219,56.7,606889,31.1
무용(서양/한국무용),82,133,882341000,0.7,40171,2.1
대중무용,4,4,52985000,0.0,1277,0.1
