지역명,공연시설수,공연장수,총좌석수,공연건수,개막편수,상연횟수,판매수,취소수,총티켓판매수,총티켓판매액
전라도,266,369,299461,117,,450,93980,27188,66792,2348315140
전북,108,137,102632,42,,155,36197,12194,24003,1110168450
광주,73,111,87073,50,,168,40015,11674,28341,1014952900
전남,85,121,109756,25,,127,17768,3320,14448,223193790
강원도,151,214,356780,41,,86,36308,10762,25546,1034920600
제주도,70,86,90075,34,,166,19413,5303,14110,362039450
합계,3284,4285,3433564,1973,,10290,2879587,1086265,1793322,112162569333
서울,1354,1713,572314,943,,5831,1559573,618310,941263,57381082941
경기/인천,536,690,900424,307,,774,334153,83947,250206,10241421412
경기,424,543,723081,240,,664,214431,51837,162594,8080016562
인천,112,147,177343,67,,110,119722,32110,87612,2161404850
경상도,630,848,842129,390,,1207,284984,84172,200812,7734619770
부산,200,255,411272,133,,441,105404,38800,66604,3437153870
대구,142,195,183465,118,,418,72861,18745,54116,1687397310
울산,43,63,44036,40,,106,34479,9476,25003,1112914030
경북,121,159,87681,49,,103,40484,9280,31204,900522740
경남,124,176,115675,50,,139,31756,7871,23885,596631820
충청도,277,365,372381,171,,443,91165,26456,64709,2194299150
충남,99,139,76493,45,,89,35601,10296,25305,915964900
대전,94,118,251270,77,,207,35410,10439,24971,892992650
충북,68,77,36540,27,,119,13387,3252,10135,248158600
세종,16,31,8078,22,,28,6767,2469,4298,137183000
전라도,266,369,299461,139,,391,92290,20482,71808,1882597352
광주,73,111,87073,47,,160,39177,9270,29907,839384462
전북,108,137,102632,64,,143,32175,7102,25073,680287890
전남,85,121,109756,28,,88,20938,4110,16828,362925000
강원도,151,214,356780,37,,59,30405,8199,22206,237915120
제주도,70,86,90075,25,,174,14588,2795,11793,215644600
합계,3284,4285,3433564,2012,,8879,2407158,844361,1562797,79887580345
서울,1354,1713,572314,1147,,6542,1969295,732467,1236828,94276176310
경상도,630,848,842129,458,,1360,423916,144609,279307,12242137530
부산,200,255,411272,136,,422,181662,76057,105605,7328477930
대구,142,195,183465,143,,496,112564,35311,77253,2222792360
경남,124,176,115675,82,,201,55429,16029,39400,1200736880
경북,121,159,87681,68,,134,54738,13371,41367,1186518740
울산,43,63,44036,29,,107,19523,3841,15682,303611620
경기/인천,536,690,900424,409,,992,328383,102298,226085,7173138070
경기,424,543,723081,340,,830,269001,79854,189147,5261277230
인천,112,147,177343,69,,162,59382,22444,36938,1911860840
전라도,266,369,299461,168,,531,112440,27557,84883,3078404132
전북,108,137,102632,51,,128,39512,10213,29299,1539112520
광주,73,111,87073,75,,249,45678,11468,34210,1171772112
전남,85,121,109756,42,,154,27250,5876,21374,367519500
충청도,277,365,372381,187,,559,105957,26650,79307,1659677460
대전,94,118,251270,73,,301,38271,10547,27724,913585620
세종,16,31,8078,24,,43,26206,7853,18353,282331200
충남,99,139,76493,55,,100,29867,6471,23396,257142040
충북,68,77,36540,35,,115,11613,1779,9834,206618600
강원도,151,214,356780,47,,76,31182,7108,24074,710451100
제주도,70,86,90075,30,,199,28929,9007,19922,667222580
합계,3284,4285,3433564,2446,,10259,3000102,1049696,1950406,119807207182
서울,1354,1713,572314,1202,,6429,1836425,719238,1117187,84927336506
경상도,630,848,842129,454,,1310,405456,118209,287247,15522444120
대구,142,195,183465,139,,424,136037,35500,100537,6435807240
부산,200,255,411272,129,,458,128606,47648,80958,5935065370
경북,121,159,87681,76,,173,72735,17575,55160,1845348080
경남,124,176,115675,67,,147,44435,10854,33581,866625650
울산,43,63,44036,43,,108,23643,6632,17011,439597780
경기/인천,536,690,900424,424,,983,314343,78827,235516,5253966390
경기,424,543,723081,345,,823,258213,64256,193957,4731440480
인천,112,147,177343,79,,160,56130,14571,41559,522525910
전라도,266,369,299461,160,,519,132947,37308,95639,4139415032
광주,73,111,87073,69,,212,63186,19593,43593,2570041580
전남,85,121,109756,39,,155,33508,9772,23736,996575050
전북,108,137,102632,52,,152,36253,7943,28310,572798402
충청도,277,365,372381,206,,575,107767,27884,79883,2734239070
대전,94,118,251270,95,,320,43994,13140,30854,1672509100
충남,99,139,76493,55,,88,37034,9157,27877,602785220
세종,16,31,8078,21,,37,14327,3837,10490,317907040
충북,68,77,36540,35,,130,12412,1750,10662,141037710
강원도,151,214,356780,48,,74,21305,5586,15719,287939480
제주도,70,86,90075,25,,157,12827,2927,9900,169696600
합계,3284,4285,3433564,2519,,10047,2831070,989979,1841091,113035037198
서울,1354,1713,572314,1182,,8575,2927763,1227056,1700707,128914434471
경상도,630,848,842129,472,,1857,932434,381518,550916,45307043150
부산,200,255,411272,159,,664,382326,171394,210932,20235271190
대구,142,195,183465,133,,693,398262,167241,231021,19986190450
경남,124,176,115675,78,,228,74099,24310,49789,2885178680
