공연시설명,공연장명,좌석수,공연건수,개막편수,상연횟수,총티켓판매수,연도,규모
하남문화예술회관,검단홀(대극장),911,2,2,8,2511,2023,"500~1,000석 미만"
하남문화예술회관,아랑홀(소극장),355,1,1,3,49,2023,300~500석 미만
하남문화예술회관,전시장,25,0,0,0,0,2023,1~300석 미만
광주시문화예술의전당 (구. 남한산성아트홀),남한산성홀,1038,2,2,7,3208,2023,"1,000~5,000석 미만"
광주시문화예술의전당 (구. 남한산성아트홀),맹사성홀,270,0,0,0,0,2023,1~300석 미만
한전아트센터,한전아트센터,999,1,0,31,12422,2023,"500~1,000석 미만"
부천시민회관,대공연장,1041,6,5,18,4751,2023,"1,000~5,000석 미만"
부천시민회관,소공연장,214,0,0,0,0,2023,1~300석 미만
부천시민회관,부천시립합창단 연습실,0,0,0,0,0,2023,좌석 미상
부천시민회관,부천필하모닉오케스트라 연습실,0,0,0,0,0,2023,좌석 미상
고양아람누리,아람음악당,1449,1,1,1,405,2023,"1,000~5,000석 미만"
고양아람누리,새라새극장,304,3,3,4,437,2023,300~500석 미만
고양아람누리,아람극장,1887,2,2,4,3358,2023,"1,000~5,000석 미만"
고양아람누리,노루목야외극장,1000,0,0,0,0,2023,"1,000~5,000석 미만"
고양아람누리,갤러리누리,0,0,0,0,0,2023,좌석 미상
JTN 아트홀(구. 대학로예술마당),2관,210,1,0,27,777,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),1관,228,1,0,12,1067,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),4관,208,1,0,33,972,2023,1~300석 미만
JTN 아트홀(구. 대학로예술마당),3관,208,1,0,15,283,2023,1~300석 미만
오산문화예술회관,대공연장,800,2,2,13,2963,2023,"500~1,000석 미만"
오산문화예술회관,소공연장,207,0,0,0,0,2023,1~300석 미만
부산문화회관,대극장,1417,6,6,6,6428,2023,"1,000~5,000석 미만"
부산문화회관,사랑채극장(소극장),312,0,0,0,0,2023,300~500석 미만
부산문화회관,중극장,783,3,3,3,827,2023,"500~1,000석 미만"
부산문화회관,챔버홀,410,7,7,7,1400,2023,300~500석 미만
코엑스,신한카드 아티움,1004,2,2,4,3689,2023,"1,000~5,000석 미만"
코엑스,아트홀,200,0,0,0,0,2023,1~300석 미만
코엑스,오디토리움,1080,0,0,0,0,2023,"1,000~5,000석 미만"
코엑스,컨퍼런스룸(남),441,0,0,0,0,2023,300~500석 미만
코엑스,K팝 광장(동문),0,0,0,0,0,2023,좌석 미상
코엑스,D홀,7000,0,0,0,0,2023,"5,000~10,000석 미만"
코엑스,그랜드볼룸,1800,0,0,0,0,2023,"1,000~5,000석 미만"
코엑스,Hall C,0,0,0,0,0,2023,좌석 미상
대전컨벤션센터 (DCC),컴퍼런스홀,237,0,0,0,0,2023,1~300석 미만
대전컨벤션센터 (DCC),전시홀 (컨벤션홀),0,0,0,0,0,2023,좌석 미상
대전컨벤션센터 (DCC),제2전시장,0,1,1,1,4062,2023,좌석 미상
대전컨벤션센터 (DCC),제1전시장,0,0,0,0,0,2023,좌석 미상
대전컨벤션센터 (DCC),그랜드볼룸 (2F),1500,0,0,0,0,2023,"1,000~5,000석 미만"
예스24 라이브홀 (구. 악스코리아),예스24 라이브홀 (구. 악스코리아),1051,4,4,8,8429,2023,"1,000~5,000석 미만"
대백프라자,프라임홀,214,4,3,27,4234,2023,1~300석 미만
대백프라자,레오문화홀,100,1,1,47,1081,2023,1~300석 미만
대백프라자,대백프라자갤러리 (프라자점 12층),0,0,0,0,0,2023,좌석 미상
대전평송청소년문화센터,평송홀(대극장),792,2,2,9,2897,2023,"500~1,000석 미만"
대전평송청소년문화센터,어울림홀(소극장),313,1,1,6,752,2023,300~500석 미만
티오엠씨어터(구. 문화공간필링),1관,335,2,1,30,5597,2023,300~500석 미만
티오엠씨어터(구. 문화공간필링),2관,220,1,0,2,210,2023,1~300석 미만
티오엠씨어터(구. 문화공간필링),연습실A,0,0,0,0,0,2023,좌석 미상
두산아트센터,Space111,300,0,0,0,0,2023,300~500석 미만
두산아트센터,연강홀,620,1,0,29,3950,2023,"500~1,000석 미만"
두산아트센터,로비,0,0,0,0,0,2023,좌석 미상
청주예술의전당,대공연장,1493,3,3,12,4163,2023,"1,000~5,000석 미만"
청주예술의전당,소공연장,296,0,0,0,0,2023,1~300석 미만
봄날아트홀 (구. 아리랑소극장),2관 (지하2층),120,2,0,100,6039,2023,1~300석 미만
봄날아트홀 (구. 아리랑소극장),1관 (지하1층),120,2,0,31,1946,2023,1~300석 미만
한국소리문화의전당,야외공연장,7000,0,0,0,0,2023,"5,000~10,000석 미만"
한국소리문화의전당,모악당,2037,1,1,2,1141,2023,"1,000~5,000석 미만"
한국소리문화의전당,명인홀,206,0,0,0,0,2023,1~300석 미만
한국소리문화의전당,연지홀,666,2,2,10,1694,2023,"500~1,000석 미만"
한국소리문화의전당,국제회의장,250,0,0,0,0,2023,1~300석 미만
한국소리문화의전당,중정,100,0,0,0,0,2023,1~300석 미만
한국소리문화의전당,전시장 옥상,100,0,0,0,0,2023,1~300석 미만
한국소리문화의전당,전시장 (2F),0,0,0,0,0,2023,좌석 미상
부산시민회관,대극장,1606,2,2,7,3545,2023,"1,000~5,000석 미만"
부산시민회관,소극장,385,0,0,0,0,2023,300~500석 미만
부산시민회관,전시실 (1F),0,0,0,0,0,2023,좌석 미상
부산시민회관,전시실 (2F),0,0,0,0,0,2023,좌석 미상
강원대학교 백령아트센터,강원대학교 백령아트센터,1600,2,2,4,5667,2023,"1,000~5,000석 미만"
강원대학교 백령아트센터,백령스포츠센터,0,0,0,0,0,2023,좌석 미상
동덕여대공연예술센터,코튼홀,411,1,1,37,4257,2023,300~500석 미만
CK아트홀,CK아트홀,188,1,1,25,2731,2023,1~300석 미만
아르코 꿈밭극장 (구.학전),블루소극장,194,2,1,24,2571,2023,1~300석 미만
아르코 꿈밭극장 (구.학전),그린소극장 (폐관),180,0,0,0,0,2023,1~300석 미만
아르코 꿈밭극장 (구.학전),연습실,0,0,0,0,0,2023,좌석 미상
"파랑씨어터 (구. 도향아트홀, 구. 뮤디스홀)","파랑씨어터 (구. 도향아트홀, 구. 뮤디스홀)",160,1,0,78,3783,2023,1~300석 미만
대학로 자유극장 (자유문화발전소),대학로 자유극장 (자유문화발전소),233,1,0,41,5715,2023,1~300석 미만
마포아트센터,아트홀맥,1004,2,1,21,7798,2023,"1,000~5,000석 미만"
마포아트센터,플레이맥,201,1,1,1,4,2023,1~300석 미만
마포아트센터,스튜디오3,120,0,0,0,0,2023,1~300석 미만
세우아트센터,1관,160,1,0,67,3077,2023,1~300석 미만
세우아트센터,2관,160,0,0,0,0,2023,1~300석 미만
틴틴홀,틴틴홀,244,1,0,101,15864,2023,1~300석 미만
고양어울림누리,별모래극장,366,1,1,3,734,2023,300~500석 미만
고양어울림누리,꽃메야외극장,500,0,0,0,0,2023,"500~1,000석 미만"
고양어울림누리,어울림극장,1290,3,3,17,4870,2023,"1,000~5,000석 미만"
예스24아트원(구.대학로아트원씨어터),1관,393,1,0,40,8264,2023,300~500석 미만
예스24아트원(구.대학로아트원씨어터),2관,293,1,0,39,4696,2023,1~300석 미만
예스24아트원(구.대학로아트원씨어터),3관,165,2,2,27,1851,2023,1~300석 미만
신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),라이브홀,424,1,0,66,15000,2023,300~500석 미만
신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),드림홀,296,1,0,61,3610,2023,1~300석 미만
KBS홀 [부산],KBS홀 [부산],2847,3,3,5,7884,2023,"1,000~5,000석 미만"
"정극장 (구. M시어터, 구.하모니아트홀)","정극장 (구. M시어터, 구.하모니아트홀)",118,1,0,80,3961,2023,1~300석 미만
브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]),브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]),202,1,0,104,7009,2023,1~300석 미만
컬쳐씨어터(구. 휴먼시어터),컬쳐씨어터(구. 휴먼시어터),120,1,0,77,2971,2023,1~300석 미만
홍익대 대학로 아트센터,대극장,702,1,0,33,13590,2023,"500~1,000석 미만"
홍익대 대학로 아트센터,소극장,150,0,0,0,0,2023,1~300석 미만
유니플렉스,1관(대극장),599,1,0,46,21055,2023,"500~1,000석 미만"
유니플렉스,2관(중극장),269,1,0,30,8356,2023,1~300석 미만
유니플렉스,3관(소극장),181,1,0,41,844,2023,1~300석 미만
예스24 스테이지(구. DCF대명문화공장),1관,406,1,0,39,7559,2023,300~500석 미만
예스24 스테이지(구. DCF대명문화공장),2관,301,1,0,40,3246,2023,300~500석 미만
예스24 스테이지(구. DCF대명문화공장),3관(구. 수현재씨어터),255,1,0,33,3516,2023,1~300석 미만
계명아트센터,계명아트센터,1954,2,2,4,4536,2023,"1,000~5,000석 미만"
올림픽공원,KSPO DOME(체조경기장),15000,3,2,3,20595,2023,"10,000석 이상"
올림픽공원,SK핸드볼경기장(펜싱경기장),5003,2,2,4,11237,2023,"5,000~10,000석 미만"
올림픽공원,올림픽홀,2452,3,2,5,14334,2023,"1,000~5,000석 미만"
올림픽공원,뮤즈라이브,237,1,0,46,8341,2023,1~300석 미만
올림픽공원,우리금융아트홀(역도경기장),1184,2,1,39,18982,2023,"1,000~5,000석 미만"
올림픽공원,K-아트홀,500,0,0,0,0,2023,"500~1,000석 미만"
올림픽공원,야외(88잔디마당),10000,0,0,0,0,2023,"10,000석 이상"
올림픽공원,야외(수변무대),1000,0,0,0,0,2023,"1,000~5,000석 미만"
올림픽공원,벨로드롬(경륜경기장),6000,0,0,0,0,2023,"5,000~10,000석 미만"
올림픽공원,평화광장,0,0,0,0,0,2023,좌석 미상
올림픽공원,일대,0,0,0,0,0,2023,좌석 미상
올림픽공원,한성백제박물관,0,0,0,0,0,2023,좌석 미상
더 씨어터,더 씨어터,96,1,1,63,4198,2023,1~300석 미만
KBS홀 [울산],KBS홀 [울산],1804,1,1,2,2797,2023,"1,000~5,000석 미만"
충남대학교 정심화국제문화회관,정심화홀,1817,2,2,6,6948,2023,"1,000~5,000석 미만"
충남대학교 정심화국제문화회관,백마홀,450,0,0,0,0,2023,300~500석 미만
충남대학교 정심화국제문화회관,대덕홀,128,0,0,0,0,2023,1~300석 미만
해피씨어터,해피씨어터,200,1,0,113,6133,2023,1~300석 미만
벡스코 (BEXCO),오디토리움,4002,3,3,4,8921,2023,"1,000~5,000석 미만"
벡스코 (BEXCO),제1전시장,18000,0,0,0,0,2023,"10,000석 이상"
벡스코 (BEXCO),제2전시장,6000,0,0,0,0,2023,"5,000~10,000석 미만"
벡스코 (BEXCO),제1전시장 1홀,6000,0,0,0,0,2023,"5,000~10,000석 미만"
소향씨어터,신한카드홀,1134,2,2,4,2616,2023,"1,000~5,000석 미만"
성균관대학교 새천년홀,성균관대학교 새천년홀,754,1,1,29,11836,2023,"500~1,000석 미만"
엑스코(exco),오디토리움,1304,2,2,4,3281,2023,"1,000~5,000석 미만"
엑스코(exco),전시2홀,4000,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),컨벤션홀 (5층),3500,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),전시1홀,1500,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),제2전시장(동관),12000,1,1,1,4705,2023,"10,000석 이상"
엑스코(exco),제1전시장(서관),9000,0,0,0,0,2023,"5,000~10,000석 미만"
